filename	topic	identifier
corpus\bing001.txt	0	bing001
corpus\binn002.txt	0	binn002
corpus\binn004.txt	0	binn004
corpus\binn008.txt	18	binn008
corpus\binn009.txt	0	binn009
corpus\binn010.txt	5	binn010
corpus\binn015.txt	-1	binn015
corpus\birr001.txt	34	birr001
corpus\bisc004.txt	-1	bisc004
corpus\biss002.txt	0	biss002
corpus\bitt002.txt	32	bitt002
corpus\bitt009.txt	22	bitt009
corpus\blaa002.txt	-1	blaa002
corpus\blaa011.txt	8	blaa011
corpus\blaa014.txt	9	blaa014
corpus\blam001.txt	-1	blam001
corpus\blan006.txt	1	blan006
corpus\blan013.txt	-1	blan013
corpus\blan015.txt	11	blan015
corpus\blan051.txt	6	blan051
corpus\blan059.txt	6	blan059
corpus\blec001.txt	1	blec001
corpus\blec002.txt	1	blec002
corpus\blee001.txt	1	blee001
corpus\blee005.txt	4	blee005
corpus\bles001.txt	2	bles001
corpus\blij001.txt	0	blij001
corpus\blij025.txt	-1	blij025
corpus\blin002.txt	1	blin002
corpus\bloc010.txt	-1	bloc010
corpus\bloc044.txt	38	bloc044
corpus\bloe001.txt	-1	bloe001
corpus\bloe004.txt	0	bloe004
corpus\bloe009.txt	1	bloe009
corpus\bloe056.txt	0	bloe056
corpus\bloe060.txt	-1	bloe060
corpus\blok001.txt	-1	blok001
corpus\blok005.txt	-1	blok005
corpus\blok006.txt	32	blok006
corpus\blok008.txt	16	blok008
corpus\blok009.txt	-1	blok009
corpus\blok013.txt	15	blok013
corpus\blok015.txt	1	blok015
corpus\blok017.txt	3	blok017
corpus\blok031.txt	2	blok031
corpus\blok032.txt	0	blok032
corpus\blok042.txt	-1	blok042
corpus\blom001.txt	-1	blom001
corpus\blom002.txt	-1	blom002
corpus\blom006.txt	-1	blom006
corpus\blom022.txt	28	blom022
corpus\blom054.txt	0	blom054
corpus\blom056.txt	0	blom056
corpus\blon003.txt	0	blon003
corpus\boas001.txt	23	boas001
corpus\boas004.txt	-1	boas004
corpus\bobk001.txt	19	bobk001
corpus\bock002.txt	13	bock002
corpus\bock006.txt	3	bock006
corpus\boda001.txt	-1	boda001
corpus\bodd003.txt	0	bodd003
corpus\boec007.txt	0	boec007
corpus\boef001.txt	16	boef001
corpus\boef005.txt	-1	boef005
corpus\boeh001.txt	2	boeh001
corpus\boek003.txt	0	boek003
corpus\boek004.txt	3	boek004
corpus\boek011.txt	0	boek011
corpus\boek018.txt	4	boek018
corpus\boek022.txt	-1	boek022
corpus\boek061.txt	1	boek061
corpus\boek062.txt	0	boek062
corpus\boel001.txt	2	boel001
corpus\boel004.txt	15	boel004
corpus\boel011.txt	-1	boel011
corpus\boel019.txt	15	boel019
corpus\boen002.txt	-1	boen002
corpus\boen003.txt	0	boen003
corpus\boer014.txt	0	boer014
corpus\boer023.txt	32	boer023
corpus\boer031.txt	-1	boer031
corpus\boer043.txt	15	boer043
corpus\boer044.txt	2	boer044
corpus\boer051.txt	1	boer051
corpus\boer052.txt	-1	boer052
corpus\boer053.txt	-1	boer053
corpus\boer057.txt	-1	boer057
corpus\boer059.txt	14	boer059
corpus\boer060.txt	7	boer060
corpus\boer063.txt	-1	boer063
corpus\boer064.txt	-1	boer064
corpus\boer096.txt	0	boer096
corpus\boer108.txt	-1	boer108
corpus\boer109.txt	-1	boer109
corpus\boer144.txt	-1	boer144
corpus\boer175.txt	-1	boer175
corpus\boer208.txt	8	boer208
corpus\boer219.txt	0	boer219
corpus\boes005.txt	-1	boes005
corpus\boet001.txt	35	boet001
corpus\boey004.txt	0	boey004
corpus\boey018.txt	2	boey018
corpus\boe_002.txt	36	boe_002
corpus\boga004.txt	0	boga004
corpus\boga020.txt	0	boga020
corpus\boga023.txt	0	boga023
corpus\boga033.txt	1	boga033
corpus\boga061.txt	-1	boga061
corpus\bogn001.txt	0	bogn001
corpus\bohe001.txt	27	bohe001
corpus\bohl001.txt	2	bohl001
corpus\bohl003.txt	-1	bohl003
corpus\boht001.txt	13	boht001
corpus\bois002.txt	30	bois002
corpus\bois004.txt	1	bois004
corpus\bois007.txt	12	bois007
corpus\bois037.txt	12	bois037
corpus\bokh004.txt	24	bokh004
corpus\bokw001.txt	-1	bokw001
corpus\bolc001.txt	9	bolc001
corpus\bolh005.txt	-1	bolh005
corpus\bolk001.txt	5	bolk001
corpus\bolk003.txt	1	bolk003
corpus\bols001.txt	0	bols001
corpus\bols014.txt	0	bols014
corpus\bol_002.txt	0	bol_002
corpus\boma001.txt	-1	boma001
corpus\bomh002.txt	-1	bomh002
corpus\bom_001.txt	0	bom_001
corpus\bond017.txt	0	bond017
corpus\bone001.txt	6	bone001
corpus\bong004.txt	2	bong004
corpus\bonn001.txt	0	bonn001
corpus\bonn020.txt	9	bonn020
corpus\bons003.txt	3	bons003
corpus\bont013.txt	0	bont013
corpus\boog008.txt	0	boog008
corpus\boog011.txt	4	boog011
corpus\boog026.txt	17	boog026
corpus\boog039.txt	0	boog039
corpus\boog045.txt	0	boog045
corpus\booi002.txt	3	booi002
corpus\booi005.txt	27	booi005
corpus\boom007.txt	-1	boom007
corpus\boom011.txt	-1	boom011
corpus\boom012.txt	-1	boom012
corpus\boom013.txt	-1	boom013
corpus\boom039.txt	-1	boom039
corpus\boon001.txt	0	boon001
corpus\boon006.txt	0	boon006
corpus\boon009.txt	0	boon009
corpus\boon018.txt	-1	boon018
corpus\boon021.txt	34	boon021
corpus\boon032.txt	-1	boon032
corpus\boon070.txt	6	boon070
corpus\boon084.txt	0	boon084
corpus\boor001.txt	20	boor001
corpus\boos001.txt	0	boos001
corpus\boos003.txt	42	boos003
corpus\boos006.txt	0	boos006
corpus\boov001.txt	0	boov001
corpus\booy003.txt	1	booy003
corpus\booy005.txt	4	booy005
corpus\bord001.txt	0	bord001
corpus\bore002.txt	-1	bore002
corpus\bore015.txt	-1	bore015
corpus\borg001.txt	0	borg001
corpus\borg006.txt	28	borg006
corpus\borg014.txt	2	borg014
corpus\borg033.txt	-1	borg033
corpus\borg051.txt	0	borg051
corpus\borm013.txt	8	borm013
corpus\born004.txt	-1	born004
corpus\born005.txt	0	born005
corpus\born009.txt	0	born009
corpus\borr013.txt	1	borr013
corpus\borr015.txt	2	borr015
corpus\bosb002.txt	2	bosb002
corpus\bosb003.txt	1	bosb003
corpus\bosb004.txt	-1	bosb004
corpus\bosc001.txt	-1	bosc001
corpus\bosc008.txt	-1	bosc008
corpus\bosc009.txt	0	bosc009
corpus\bosc020.txt	4	bosc020
corpus\bosc041.txt	1	bosc041
corpus\bosc046.txt	-1	bosc046
corpus\bosc121.txt	21	bosc121
corpus\bosc129.txt	6	bosc129
corpus\bosc142.txt	47	bosc142
corpus\bosc150.txt	0	bosc150
corpus\bosc160.txt	0	bosc160
corpus\bosd001.txt	-1	bosd001
corpus\bosh002.txt	0	bosh002
corpus\bosk003.txt	0	bosk003
corpus\bosm005.txt	24	bosm005
corpus\bosq001.txt	0	bosq001
corpus\boss003.txt	37	boss003
corpus\boss027.txt	-1	boss027
corpus\boss029.txt	1	boss029
corpus\boss033.txt	12	boss033
corpus\boss034.txt	2	boss034
corpus\boss058.txt	0	boss058
corpus\boss064.txt	-1	boss064
corpus\boss079.txt	2	boss079
corpus\bost002.txt	1	bost002
corpus\bosw005.txt	18	bosw005
corpus\bos_002.txt	26	bos_002
corpus\bos_004.txt	0	bos_004
corpus\bos_005.txt	3	bos_005
corpus\bos_011.txt	0	bos_011
corpus\bos_053.txt	8	bos_053
corpus\bos_067.txt	5	bos_067
corpus\bos_084.txt	0	bos_084
corpus\both004.txt	3	both004
corpus\both008.txt	35	both008
corpus\bots002.txt	0	bots002
corpus\bott005.txt	-1	bott005
corpus\bott007.txt	0	bott007
corpus\bott014.txt	-1	bott014
corpus\bott015.txt	8	bott015
corpus\bott020.txt	1	bott020
corpus\bot_028.txt	3	bot_028
corpus\boud007.txt	0	boud007
corpus\boud011.txt	-1	boud011
corpus\bouh001.txt	0	bouh001
corpus\boum001.txt	0	boum001
corpus\boum003.txt	34	boum003
corpus\boum008.txt	5	boum008
corpus\boum036.txt	-1	boum036
corpus\boum041.txt	4	boum041
corpus\boum063.txt	0	boum063
corpus\bour001.txt	0	bour001
corpus\bour005.txt	0	bour005
corpus\bour066.txt	43	bour066
corpus\bous002.txt	-1	bous002
corpus\bout005.txt	0	bout005
corpus\bout019.txt	0	bout019
corpus\bouv006.txt	1	bouv006
corpus\bouw001.txt	0	bouw001
corpus\bouw060.txt	41	bouw060
corpus\bove002.txt	-1	bove002
corpus\bove005.txt	0	bove005
corpus\bove009.txt	3	bove009
corpus\bove013.txt	0	bove013
corpus\bove016.txt	0	bove016
corpus\boxm002.txt	-1	boxm002
corpus\boye001.txt	-1	boye001
corpus\boys001.txt	-1	boys001
corpus\boyz001.txt	-1	boyz001
corpus\braa001.txt	2	braa001
corpus\braa002.txt	2	braa002
corpus\braa003.txt	-1	braa003
corpus\braa010.txt	9	braa010
corpus\braa012.txt	0	braa012
corpus\braa018.txt	-1	braa018
corpus\braa019.txt	1	braa019
corpus\braa064.txt	-1	braa064
corpus\brab001.txt	0	brab001
corpus\brab004.txt	0	brab004
corpus\brab005.txt	0	brab005
corpus\brac001.txt	0	brac001
corpus\brac005.txt	39	brac005
