filename	topic	textID
corpus_final_ids\DIE_1901_68.txt	-1	DIE_1901_68
corpus_final_ids\DIE_1901_69.txt	47	DIE_1901_69
corpus_final_ids\DIE_1901_7.txt	0	DIE_1901_7
corpus_final_ids\DIE_1901_70.txt	3	DIE_1901_70
corpus_final_ids\DIE_1901_71.txt	-1	DIE_1901_71
corpus_final_ids\DIE_1901_72.txt	0	DIE_1901_72
corpus_final_ids\DIE_1901_73.txt	6	DIE_1901_73
corpus_final_ids\DIE_1901_74.txt	15	DIE_1901_74
corpus_final_ids\DIE_1901_75.txt	-1	DIE_1901_75
corpus_final_ids\DIE_1901_76.txt	155	DIE_1901_76
corpus_final_ids\DIE_1901_77.txt	-1	DIE_1901_77
corpus_final_ids\DIE_1901_78.txt	1	DIE_1901_78
corpus_final_ids\DIE_1901_79.txt	-1	DIE_1901_79
corpus_final_ids\DIE_1901_8.txt	-1	DIE_1901_8
corpus_final_ids\DIE_1901_80.txt	-1	DIE_1901_80
corpus_final_ids\DIE_1901_81.txt	-1	DIE_1901_81
corpus_final_ids\DIE_1901_82.txt	0	DIE_1901_82
corpus_final_ids\DIE_1901_83.txt	-1	DIE_1901_83
corpus_final_ids\DIE_1901_84.txt	1	DIE_1901_84
corpus_final_ids\DIE_1901_85.txt	-1	DIE_1901_85
corpus_final_ids\DIE_1901_86.txt	-1	DIE_1901_86
corpus_final_ids\DIE_1901_87.txt	-1	DIE_1901_87
corpus_final_ids\DIE_1901_88.txt	0	DIE_1901_88
corpus_final_ids\DIE_1901_89.txt	0	DIE_1901_89
corpus_final_ids\DIE_1901_9.txt	0	DIE_1901_9
corpus_final_ids\DIE_1901_90.txt	0	DIE_1901_90
corpus_final_ids\DIE_1901_91.txt	0	DIE_1901_91
corpus_final_ids\DIE_1901_92.txt	-1	DIE_1901_92
corpus_final_ids\DIE_1901_93.txt	28	DIE_1901_93
corpus_final_ids\DIE_1901_94.txt	-1	DIE_1901_94
corpus_final_ids\DIE_1901_95.txt	0	DIE_1901_95
corpus_final_ids\DIE_1901_96.txt	5	DIE_1901_96
corpus_final_ids\DIE_1901_97.txt	-1	DIE_1901_97
corpus_final_ids\DIE_1901_98.txt	-1	DIE_1901_98
corpus_final_ids\DIE_1901_99.txt	12	DIE_1901_99
corpus_final_ids\DIE_1902_1.txt	0	DIE_1902_1
corpus_final_ids\DIE_1902_10.txt	1	DIE_1902_10
corpus_final_ids\DIE_1902_100.txt	22	DIE_1902_100
corpus_final_ids\DIE_1902_101.txt	-1	DIE_1902_101
corpus_final_ids\DIE_1902_102.txt	-1	DIE_1902_102
corpus_final_ids\DIE_1902_103.txt	0	DIE_1902_103
corpus_final_ids\DIE_1902_104.txt	-1	DIE_1902_104
corpus_final_ids\DIE_1902_105.txt	-1	DIE_1902_105
corpus_final_ids\DIE_1902_106.txt	2	DIE_1902_106
corpus_final_ids\DIE_1902_107.txt	-1	DIE_1902_107
corpus_final_ids\DIE_1902_108.txt	-1	DIE_1902_108
corpus_final_ids\DIE_1902_109.txt	-1	DIE_1902_109
corpus_final_ids\DIE_1902_11.txt	-1	DIE_1902_11
corpus_final_ids\DIE_1902_110.txt	1	DIE_1902_110
corpus_final_ids\DIE_1902_111.txt	-1	DIE_1902_111
corpus_final_ids\DIE_1902_112.txt	-1	DIE_1902_112
corpus_final_ids\DIE_1902_113.txt	-1	DIE_1902_113
corpus_final_ids\DIE_1902_114.txt	269	DIE_1902_114
corpus_final_ids\DIE_1902_115.txt	0	DIE_1902_115
corpus_final_ids\DIE_1902_116.txt	1	DIE_1902_116
corpus_final_ids\DIE_1902_117.txt	-1	DIE_1902_117
corpus_final_ids\DIE_1902_118.txt	0	DIE_1902_118
corpus_final_ids\DIE_1902_119.txt	-1	DIE_1902_119
corpus_final_ids\DIE_1902_12.txt	1	DIE_1902_12
corpus_final_ids\DIE_1902_120.txt	-1	DIE_1902_120
corpus_final_ids\DIE_1902_13.txt	0	DIE_1902_13
corpus_final_ids\DIE_1902_14.txt	26	DIE_1902_14
corpus_final_ids\DIE_1902_15.txt	106	DIE_1902_15
corpus_final_ids\DIE_1902_16.txt	0	DIE_1902_16
corpus_final_ids\DIE_1902_17.txt	0	DIE_1902_17
corpus_final_ids\DIE_1902_18.txt	0	DIE_1902_18
corpus_final_ids\DIE_1902_19.txt	0	DIE_1902_19
corpus_final_ids\DIE_1902_2.txt	0	DIE_1902_2
corpus_final_ids\DIE_1902_20.txt	-1	DIE_1902_20
corpus_final_ids\DIE_1902_21.txt	1	DIE_1902_21
corpus_final_ids\DIE_1902_22.txt	-1	DIE_1902_22
corpus_final_ids\DIE_1902_23.txt	25	DIE_1902_23
corpus_final_ids\DIE_1902_24.txt	1	DIE_1902_24
corpus_final_ids\DIE_1902_25.txt	-1	DIE_1902_25
corpus_final_ids\DIE_1902_26.txt	-1	DIE_1902_26
corpus_final_ids\DIE_1902_27.txt	0	DIE_1902_27
corpus_final_ids\DIE_1902_28.txt	0	DIE_1902_28
corpus_final_ids\DIE_1902_29.txt	1	DIE_1902_29
corpus_final_ids\DIE_1902_3.txt	-1	DIE_1902_3
corpus_final_ids\DIE_1902_30.txt	1	DIE_1902_30
corpus_final_ids\DIE_1902_31.txt	0	DIE_1902_31
corpus_final_ids\DIE_1902_32.txt	0	DIE_1902_32
corpus_final_ids\DIE_1902_33.txt	-1	DIE_1902_33
corpus_final_ids\DIE_1902_34.txt	-1	DIE_1902_34
corpus_final_ids\DIE_1902_35.txt	-1	DIE_1902_35
corpus_final_ids\DIE_1902_36.txt	-1	DIE_1902_36
corpus_final_ids\DIE_1902_37.txt	71	DIE_1902_37
corpus_final_ids\DIE_1902_38.txt	24	DIE_1902_38
corpus_final_ids\DIE_1902_39.txt	0	DIE_1902_39
corpus_final_ids\DIE_1902_4.txt	-1	DIE_1902_4
corpus_final_ids\DIE_1902_40.txt	-1	DIE_1902_40
corpus_final_ids\DIE_1902_41.txt	-1	DIE_1902_41
corpus_final_ids\DIE_1902_42.txt	0	DIE_1902_42
corpus_final_ids\DIE_1902_43.txt	39	DIE_1902_43
corpus_final_ids\DIE_1902_44.txt	0	DIE_1902_44
corpus_final_ids\DIE_1902_45.txt	1	DIE_1902_45
corpus_final_ids\DIE_1902_46.txt	-1	DIE_1902_46
corpus_final_ids\DIE_1902_47.txt	24	DIE_1902_47
corpus_final_ids\DIE_1902_48.txt	-1	DIE_1902_48
corpus_final_ids\DIE_1902_49.txt	125	DIE_1902_49
corpus_final_ids\DIE_1902_5.txt	-1	DIE_1902_5
corpus_final_ids\DIE_1902_50.txt	0	DIE_1902_50
corpus_final_ids\DIE_1902_51.txt	12	DIE_1902_51
corpus_final_ids\DIE_1902_52.txt	-1	DIE_1902_52
corpus_final_ids\DIE_1902_53.txt	25	DIE_1902_53
corpus_final_ids\DIE_1902_54.txt	-1	DIE_1902_54
corpus_final_ids\DIE_1902_55.txt	0	DIE_1902_55
corpus_final_ids\DIE_1902_56.txt	-1	DIE_1902_56
corpus_final_ids\DIE_1902_57.txt	-1	DIE_1902_57
corpus_final_ids\DIE_1902_58.txt	-1	DIE_1902_58
corpus_final_ids\DIE_1902_59.txt	1	DIE_1902_59
corpus_final_ids\DIE_1902_6.txt	-1	DIE_1902_6
corpus_final_ids\DIE_1902_60.txt	-1	DIE_1902_60
corpus_final_ids\DIE_1902_61.txt	0	DIE_1902_61
corpus_final_ids\DIE_1902_62.txt	0	DIE_1902_62
corpus_final_ids\DIE_1902_63.txt	21	DIE_1902_63
corpus_final_ids\DIE_1902_64.txt	-1	DIE_1902_64
corpus_final_ids\DIE_1902_65.txt	238	DIE_1902_65
corpus_final_ids\DIE_1902_66.txt	1	DIE_1902_66
corpus_final_ids\DIE_1902_67.txt	-1	DIE_1902_67
corpus_final_ids\DIE_1902_68.txt	47	DIE_1902_68
corpus_final_ids\DIE_1902_69.txt	-1	DIE_1902_69
corpus_final_ids\DIE_1902_7.txt	0	DIE_1902_7
corpus_final_ids\DIE_1902_70.txt	56	DIE_1902_70
corpus_final_ids\DIE_1902_71.txt	0	DIE_1902_71
corpus_final_ids\DIE_1902_72.txt	12	DIE_1902_72
corpus_final_ids\DIE_1902_73.txt	110	DIE_1902_73
corpus_final_ids\DIE_1902_74.txt	-1	DIE_1902_74
corpus_final_ids\DIE_1902_75.txt	20	DIE_1902_75
corpus_final_ids\DIE_1902_76.txt	25	DIE_1902_76
corpus_final_ids\DIE_1902_77.txt	1	DIE_1902_77
corpus_final_ids\DIE_1902_78.txt	-1	DIE_1902_78
corpus_final_ids\DIE_1902_79.txt	-1	DIE_1902_79
corpus_final_ids\DIE_1902_8.txt	49	DIE_1902_8
corpus_final_ids\DIE_1902_80.txt	-1	DIE_1902_80
corpus_final_ids\DIE_1902_81.txt	1	DIE_1902_81
corpus_final_ids\DIE_1902_82.txt	19	DIE_1902_82
corpus_final_ids\DIE_1902_83.txt	0	DIE_1902_83
corpus_final_ids\DIE_1902_84.txt	-1	DIE_1902_84
corpus_final_ids\DIE_1902_85.txt	41	DIE_1902_85
corpus_final_ids\DIE_1902_86.txt	0	DIE_1902_86
corpus_final_ids\DIE_1902_87.txt	-1	DIE_1902_87
corpus_final_ids\DIE_1902_88.txt	-1	DIE_1902_88
corpus_final_ids\DIE_1902_89.txt	254	DIE_1902_89
corpus_final_ids\DIE_1902_9.txt	0	DIE_1902_9
corpus_final_ids\DIE_1902_90.txt	-1	DIE_1902_90
corpus_final_ids\DIE_1902_91.txt	-1	DIE_1902_91
corpus_final_ids\DIE_1902_92.txt	-1	DIE_1902_92
corpus_final_ids\DIE_1902_93.txt	1	DIE_1902_93
corpus_final_ids\DIE_1902_94.txt	110	DIE_1902_94
corpus_final_ids\DIE_1902_95.txt	25	DIE_1902_95
corpus_final_ids\DIE_1902_96.txt	0	DIE_1902_96
corpus_final_ids\DIE_1902_97.txt	-1	DIE_1902_97
corpus_final_ids\DIE_1902_98.txt	1	DIE_1902_98
corpus_final_ids\DIE_1902_99.txt	19	DIE_1902_99
corpus_final_ids\DIE_1903_1.txt	0	DIE_1903_1
corpus_final_ids\DIE_1903_10.txt	55	DIE_1903_10
corpus_final_ids\DIE_1903_100.txt	0	DIE_1903_100
corpus_final_ids\DIE_1903_101.txt	0	DIE_1903_101
corpus_final_ids\DIE_1903_102.txt	-1	DIE_1903_102
corpus_final_ids\DIE_1903_103.txt	-1	DIE_1903_103
corpus_final_ids\DIE_1903_104.txt	-1	DIE_1903_104
corpus_final_ids\DIE_1903_105.txt	-1	DIE_1903_105
corpus_final_ids\DIE_1903_106.txt	-1	DIE_1903_106
corpus_final_ids\DIE_1903_107.txt	19	DIE_1903_107
corpus_final_ids\DIE_1903_108.txt	28	DIE_1903_108
corpus_final_ids\DIE_1903_109.txt	-1	DIE_1903_109
corpus_final_ids\DIE_1903_11.txt	0	DIE_1903_11
corpus_final_ids\DIE_1903_12.txt	0	DIE_1903_12
corpus_final_ids\DIE_1903_13.txt	0	DIE_1903_13
corpus_final_ids\DIE_1903_14.txt	0	DIE_1903_14
corpus_final_ids\DIE_1903_15.txt	-1	DIE_1903_15
corpus_final_ids\DIE_1903_16.txt	214	DIE_1903_16
corpus_final_ids\DIE_1903_17.txt	-1	DIE_1903_17
corpus_final_ids\DIE_1903_18.txt	-1	DIE_1903_18
corpus_final_ids\DIE_1903_19.txt	19	DIE_1903_19
corpus_final_ids\DIE_1903_2.txt	12	DIE_1903_2
corpus_final_ids\DIE_1903_20.txt	-1	DIE_1903_20
corpus_final_ids\DIE_1903_21.txt	-1	DIE_1903_21
corpus_final_ids\DIE_1903_22.txt	-1	DIE_1903_22
corpus_final_ids\DIE_1903_23.txt	0	DIE_1903_23
corpus_final_ids\DIE_1903_24.txt	0	DIE_1903_24
corpus_final_ids\DIE_1903_25.txt	-1	DIE_1903_25
corpus_final_ids\DIE_1903_26.txt	-1	DIE_1903_26
corpus_final_ids\DIE_1903_27.txt	-1	DIE_1903_27
corpus_final_ids\DIE_1903_28.txt	19	DIE_1903_28
corpus_final_ids\DIE_1903_29.txt	-1	DIE_1903_29
corpus_final_ids\DIE_1903_3.txt	0	DIE_1903_3
corpus_final_ids\DIE_1903_30.txt	-1	DIE_1903_30
corpus_final_ids\DIE_1903_31.txt	0	DIE_1903_31
corpus_final_ids\DIE_1903_32.txt	0	DIE_1903_32
corpus_final_ids\DIE_1903_33.txt	0	DIE_1903_33
corpus_final_ids\DIE_1903_34.txt	0	DIE_1903_34
corpus_final_ids\DIE_1903_35.txt	-1	DIE_1903_35
corpus_final_ids\DIE_1903_36.txt	0	DIE_1903_36
corpus_final_ids\DIE_1903_37.txt	244	DIE_1903_37
corpus_final_ids\DIE_1903_38.txt	-1	DIE_1903_38
corpus_final_ids\DIE_1903_39.txt	-1	DIE_1903_39
corpus_final_ids\DIE_1903_4.txt	-1	DIE_1903_4
